lga_code,lga_name,year,homeless_f_0_9,at_risk_f_0_9,homeless_m_0_9,at_risk_m_0_9,homeless_f_10_19,at_risk_f_10_19,homeless_m_10_19,at_risk_m_10_19,homeless_f_20_29,at_risk_f_20_29,homeless_m_20_29,at_risk_m_20_29,homeless_f_30_39,at_risk_f_30_39,homeless_m_30_39,at_risk_m_30_39,homeless_f_40_49,at_risk_f_40_49,homeless_m_40_49,at_risk_m_40_49,homeless_f_50_59,at_risk_f_50_59,homeless_m_50_59,at_risk_m_50_59,homeless_f_60_plus,at_risk_f_60_plus,homeless_m_60_plus,at_risk_m_60_plus,unknown_f,unknown_m
10050,Albury,2016,17,16,11,23,48,23,25,17,59,45,48,21,42,35,44,26,27,47,46,25,10,19,13,15,0,14,10,4,9,4
10130,Armidale Regional,2016,11,31,10,35,31,42,24,38,42,39,28,16,19,32,12,13,17,29,13,14,8,9,9,13,3,5,0,6,2,6
10250,Ballina,2016,35,64,28,66,31,52,25,35,35,48,16,14,24,37,16,13,27,39,31,14,10,15,7,13,5,10,6,3,4,3
10300,Balranald,2016,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8
10470,Bathurst Regional,2016,55,59,54,51,74,67,49,33,56,47,51,23,26,36,36,20,26,32,29,22,9,12,12,12,3,13,6,12,0,2
10500,Bayside,2016,16,36,19,50,23,101,21,62,20,35,11,20,17,61,10,17,16,80,11,17,7,20,16,15,0,12,3,11,5,0
10550,Bega Valley,2016,13,8,17,18,29,35,16,21,21,26,17,10,17,21,10,4,13,9,17,8,4,10,8,5,0,5,6,3,4,5
10600,Bellingen,2016,7,0,0,0,5,9,3,0,0,0,0,0,0,6,0,0,0,4,6,0,3,0,0,0,0,0,0,0,10,12
10650,Berrigan,2016,4,0,0,0,4,6,3,4,0,3,0,0,4,7,0,0,0,7,4,0,0,3,0,0,0,0,0,0,9,12
10750,Blacktown,2016,96,106,125,91,163,212,89,226,201,206,86,69,84,205,34,36,50,150,31,51,18,48,18,30,10,25,6,25,4,6
10800,Bland,2016,0,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7
10850,Blayney,2016,0,3,0,0,0,0,0,0,4,4,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,17
10900,Blue Mountains,2016,4,18,7,19,23,65,20,43,19,34,12,20,15,49,10,5,16,48,13,13,5,24,9,9,3,16,0,11,6,2
10950,Bogan,2016,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15
11150,Bourke,2016,13,21,12,31,15,11,7,11,9,18,6,6,10,16,5,4,8,15,8,5,0,10,0,3,0,0,0,6,8,5
11200,Brewarrina,2016,10,12,11,19,13,7,4,8,6,16,0,5,3,6,0,4,0,3,6,7,0,4,0,0,0,0,0,3,3,2
11250,Broken Hill,2016,10,11,11,14,40,22,33,8,31,22,27,7,16,10,18,4,9,7,18,5,3,3,4,0,0,0,4,0,8,5
11300,Burwood,2016,8,3,14,0,8,10,11,0,14,7,13,0,10,8,4,0,7,6,12,0,5,3,11,0,5,0,4,0,6,10
11350,Byron,2016,3,6,4,6,12,10,17,12,10,7,12,7,19,19,20,6,12,23,18,3,8,11,19,6,5,10,9,6,4,4
11400,Cabonne,2016,3,0,0,0,7,5,3,0,0,0,0,4,0,5,3,0,0,3,0,0,0,0,0,0,0,0,0,0,13,15
11450,Camden,2016,10,16,6,18,12,23,10,14,7,10,4,6,6,14,4,0,0,12,0,0,0,0,0,0,0,0,0,0,11,16
11500,Campbelltown,2016,94,119,101,134,115,219,81,163,100,128,76,47,67,129,58,31,35,74,53,28,16,39,17,14,0,14,9,10,4,0
11520,Canada Bay,2016,3,15,3,6,9,23,8,17,6,15,8,7,4,15,3,3,4,13,3,5,6,6,0,3,3,6,0,0,2,4
11570,Canterbury-Bankstown,2016,96,174,100,174,88,190,65,123,92,138,31,66,79,148,32,44,41,97,30,43,11,41,22,42,13,24,11,44,2,2
11600,Carrathool,2016,0,0,0,0,0,3,0,0,3,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,11,12
11650,Central Coast,2016,144,143,104,137,140,192,117,127,150,162,77,49,118,154,75,47,84,126,87,64,41,67,46,34,11,32,22,24,1,2
11700,Central Darling,2016,0,9,0,7,4,10,0,4,3,7,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,10
11720,Cessnock,2016,3,14,0,9,19,38,16,26,39,47,15,6,25,35,9,9,15,32,7,4,7,6,4,0,0,0,0,0,6,2
11730,Clarence Valley,2016,55,48,56,84,76,57,53,47,62,67,37,15,42,71,38,17,37,58,28,11,18,23,17,15,8,11,13,9,1,5
11750,Cobar,2016,0,0,0,6,3,7,4,4,0,17,6,4,4,0,4,3,0,8,0,0,0,6,0,0,0,0,0,3,10,5
11800,Coffs Harbour,2016,63,90,58,74,90,110,81,83,82,122,59,63,59,82,48,38,41,85,37,36,20,44,26,20,7,24,5,14,2,4
12000,Coolamon,2016,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5
12150,Coonamble,2016,0,11,10,11,6,11,0,6,7,12,7,5,0,9,3,0,3,5,0,3,0,0,0,3,0,0,0,0,6,6
12160,Cootamundra-Gundagai Regional,2016,0,0,0,0,4,4,3,3,0,4,0,0,4,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,10
12350,Cowra,2016,12,5,9,0,8,4,17,0,5,7,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16
12380,Cumberland,2016,65,47,46,56,42,62,48,35,66,59,32,26,43,79,21,25,27,42,20,22,8,37,11,15,9,13,6,12,4,1
12390,Dubbo Regional,2016,55,50,59,54,105,81,73,57,100,67,62,26,41,54,41,27,23,32,28,32,6,12,8,9,7,6,7,3,1,1
12700,Dungog,2016,3,0,0,0,0,0,4,0,4,0,0,0,0,10,0,0,0,5,0,0,0,3,0,0,0,0,0,0,10,7
12730,Edward River,2016,4,9,7,0,7,10,8,11,12,13,13,6,5,11,15,7,4,15,5,6,3,5,5,0,0,0,0,0,4,5
12750,Eurobodalla,2016,16,16,19,32,34,58,25,35,38,41,23,21,30,49,27,20,21,53,16,24,15,24,31,15,0,7,3,18,3,2
12850,Fairfield,2016,43,71,57,81,42,116,38,82,44,60,11,18,39,72,16,15,21,52,25,32,6,18,9,15,6,11,7,11,1,0
12870,Federation,2016,0,0,0,0,4,0,4,0,0,6,0,0,0,6,0,3,0,4,0,4,0,3,0,0,0,0,0,0,10,11
12900,Forbes,2016,10,5,10,7,8,8,8,5,6,5,5,0,4,4,3,0,6,6,0,3,0,0,6,0,0,3,0,7,6,9
12930,Georges River,2016,12,33,21,46,25,91,11,53,13,42,16,18,16,49,8,9,19,51,5,15,10,18,14,11,3,10,0,12,2,5
12950,Gilgandra,2016,3,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10
13010,Glen Innes Severn,2016,8,8,0,14,28,20,15,18,6,16,8,7,7,21,6,8,6,13,4,7,0,9,4,11,0,4,0,3,6,7
13310,Goulburn Mulwaree,2016,27,41,27,47,33,46,27,27,30,33,15,25,25,34,25,8,11,17,25,22,11,10,7,10,5,9,0,3,0,2
13340,Greater Hume Shire,2016,0,0,3,0,4,3,3,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,11,7
13450,Griffith,2016,12,113,23,115,23,79,27,71,26,68,26,21,17,66,14,27,17,18,17,22,5,15,3,9,0,19,3,7,2,0
13550,Gunnedah,2016,5,29,6,32,9,18,6,20,17,21,6,5,8,31,6,10,6,16,4,6,0,12,5,7,0,8,0,0,4,2
13660,Gwydir,2016,0,6,0,3,3,85,0,44,0,8,0,0,0,6,0,0,0,9,0,0,0,3,0,0,0,8,0,3,6,11
13800,Hawkesbury,2016,11,10,28,10,34,49,24,43,22,50,18,12,19,61,16,12,22,43,16,5,6,13,8,6,4,5,4,8,5,2
13850,Hay,2016,0,5,0,8,0,0,0,0,0,9,0,0,0,4,0,0,0,3,0,0,3,6,0,0,0,0,0,0,5,15
13910,Hilltops,2016,0,11,0,25,9,7,21,9,5,15,8,3,8,8,11,4,6,12,3,3,4,5,0,0,0,0,0,0,3,7
14000,Hornsby,2016,6,19,11,11,22,61,22,40,22,14,5,7,17,21,8,8,13,48,9,11,6,17,7,5,6,22,5,15,1,1
14100,Hunters Hill,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13
