lga_code,lga_name,median_household_weekly_income,median_age,median_mortgage_repay_monthly,median_rent_weekly
10050,Albury,1185,39,1421,231
10130,Armidale Regional,1173,36,1393,250
10250,Ballina,1156,48,1733,340
10300,Balranald,1174,41,950,150
10470,Bathurst Regional,1310,37,1670,280
10550,Bega Valley,986,51,1343,250
10600,Bellingen,997,49,1400,280
10650,Berrigan,967,49,1083,180
10750,Blacktown,1711,33,2150,380
10800,Bland,1100,43,1000,150
10850,Blayney,1227,42,1500,220
10900,Blue Mountains,1468,44,1842,350
10950,Bogan,1155,40,1083,160
11100,Botany Bay,1626,35,2400,460
11150,Bourke,1243,36,991,140
11200,Brewarrina,864,34,433,90
11250,Broken Hill,965,45,953,190
13910,Hilltops,976,44,1200,200
14000,Hornsby,2121,40,2400,500
14100,Hunters Hill,2467,43,3033,490
14170,Inner West,2048,36,2600,480
14200,Inverell,950,42,1200,210
14300,Junee,1139,40,1200,200
14350,Kempsey,894,47,1300,240
14400,Kiama,1509,47,2000,395
14500,Ku-ring-gai,2640,41,3000,650
14550,Kyogle,832,50,1100,200
14600,Lachlan,1034,40,900,150
14650,Lake Macquarie,1313,42,1733,320
14700,Lane Cove,2376,36,2600,520
14750,Leeton,1190,40,1300,195
14850,Lismore,1067,43,1430,260
14870,Lithgow,984,45,1387,230
14900,Liverpool,1550,33,2123,370
14920,Liverpool Plains,1032,45,1153,180
14950,Lockhart,1114,46,1000,150
15050,Maitland,1415,36,1733,320
15240,Mid-Coast,887,52,1324,250
15270,Mid-Western Regional,1131,42,1690,270
15300,Moree Plains,1240,38,1300,170
15350,Mosman,2522,42,3000,560
15520,Murray River,1061,49,1300,200
15560,Murrumbidgee,1197,41,900,150
15650,Muswellbrook,1346,35,1733,250
15700,Nambucca,835,51,1300,250
15750,Narrabri,1242,40,1395,200
15800,Narrandera,1030,44,1007,170
15850,Narromine,1078,42,1100,185
15900,Newcastle,1368,37,1768,340
15950,North Sydney,2360,37,2600,575
15990,Northern Beaches,2178,40,2800,565
16100,Oberon,1239,45,1452,210
16150,Orange,1295,37,1629,270
16200,Parkes,1088,41,1300,200
16260,Parramatta,1759,34,2167,440
16610,Richmond Valley,953,44,1300,250
16650,Rockdale,1575,35,2167,460
16700,Ryde,1786,36,2200,460
16900,Shellharbour,1343,39,1846,340
16950,Shoalhaven,992,48,1517,280
17000,Singleton,1682,36,1950,280
17040,Snowy Monaro Regional,1200,43,1300,220
17080,Snowy Valleys,1120,45,1300,180
11300,Burwood,1569,33,2200,500
11350,Byron,1149,44,1733,400
11400,Cabonne,1301,43,1517,180
11450,Camden,2047,33,2220,460
11500,Campbelltown,1459,34,1842,350
11520,Canada Bay,2061,36,2500,565
11570,Canterbury-Bankstown,1298,35,2000,380
11600,Carrathool,1240,40,867,105
11650,Central Coast,1258,42,1750,350
11700,Central Darling,901,39,575,100
11720,Cessnock,1177,38,1517,280
11730,Clarence Valley,910,49,1300,255
11750,Cobar,1495,36,1300,160
11800,Coffs Harbour,1107,44,1603,305
12000,Coolamon,1169,44,1083,150
12150,Coonamble,976,43,867,150
12350,Cowra,959,47,1148,185
12380,Cumberland,1379,32,2000,400
12700,Dungog,1226,45,1662,245
12730,Edward River,1080,45,1083,185
12750,Eurobodalla,939,54,1400,255
12850,Fairfield,1222,36,1800,350
12870,Federation,1017,49,1300,200
12900,Forbes,1069,42,1148,180
12930,Georges River,1654,37,2167,450
12950,Gilgandra,998,45,1083,160
13010,Glen Innes Severn,838,47,1083,200
13310,Goulburn Mulwaree,1196,42,1517,260
13340,Greater Hume Shire,1168,44,1213,180
13450,Griffith,1331,37,1495,220
13510,Gundagai,964,47,1107,180
13550,Gunnedah,1253,40,1473,240
13660,Gwydir,910,48,981,120
13800,Hawkesbury,1668,38,2080,360
13850,Hay,1075,46,982,150
16350,Penrith,1658,34,2000,370
16380,Port Macquarie-Hastings,1042,48,1671,310
16400,Port Stephens,1180,45,1733,305
16490,Queanbeyan-Palerang Regional,1882,38,2100,300
16550,Randwick,1916,34,2600,550
17420,The Hills Shire,2363,38,2500,562
17550,Tweed,1064,47,1733,340
17620,Upper Hunter Shire,1242,41,1688,220
17640,Upper Lachlan Shire,1161,48,1400,190
17650,Uralla,1058,46,1346,190
17750,Wagga Wagga,1354,35,1517,265
17850,Walcha,1054,48,1083,148
17900,Walgett,806,43,750,145
17950,Warren,1104,43,899,144
18020,Warrumbungle Shire,878,49,923,160
18050,Waverley,2308,35,3000,622
18100,Weddin,904,51,910,135
18200,Wentworth,1052,44,1200,160
18230,Western Plains Regional,1272,37,1500,250
18250,Willoughby,2271,37,2877,580
18350,Wingecarribee,1335,47,1842,350
18400,Wollondilly,1871,37,2167,365
18450,Wollongong,1339,39,1950,320
18500,Woollahra,2687,39,3200,650
18710,Yass Valley,1879,42,2000,300
